NIFTY 500,NIFTY NEXT 50,NIFTY 50,Unnamed: 3,Lookup Symbol,Index
DIXON,ADANIPOWER,RELIANCE,,,
MRPL,HDFCAMC,HDFCBANK,,,
ICICIGI,TVSMOTOR,ETERNAL,,,
KALYANKJIL,ABB,ICICIBANK,,,
GROWW,IOC,TCS,,,
HSCL,VEDL,LT,,,
ATHERENERG,BPCL,HCLTECH,,,
EMMVEE,ADANIENSOL,BAJFINANCE,,,
ZENSARTECH,UNIONBANK,M&M,,,
CHENNPETRO,ADANIGREEN,HDFCLIFE,,,
ANGELONE,CGPOWER,INFY,,,
SWIGGY,DLF,BHARTIARTL,,,
PATANJALI,LTM,SBIN,,,
SRF,LODHA,MARUTI,,,
NEWGEN,DIVISLAB,TITAN,,,
BHEL,RECLTD,TECHM,,,
POWERINDIA,TMCV,HINDALCO,,,
POLICYBZR,TORNTPHARM,EICHERMOT,,,
KAYNES,HAL,ITC,,,
BSE,TATAPOWER,AXISBANK,,,
IDEA,CUMMINSIND,TMPV,,,
PAYTM,DMART,NTPC,,,
HFCL,HYUNDAI,BAJAJ-AUTO,,,
DEEPAKFERT,GAIL,WIPRO,,,
TATAELXSI,MOTHERSON,ULTRACEMCO,,,
ZEEL,VBL,JIOFIN,,,
RBLBANK,ENRIN,TATASTEEL,,,
GVT&D,MAZDOCK,ADANIPORTS,,,
ICICIPRULI,SOLARINDS,ADANIENT,,,
NUVOCO,CANBK,HINDUNILVR,,,
HINDPETRO,CHOLAFIN,MAXHEALTH,,,
MCX,SIEMENS,SHRIRAMFIN,,,
LTTS,PNB,KOTAKBANK,,,
HDBFS,HINDZINC,TRENT,,,
BIOCON,PIDILITIND,SBILIFE,,,
GMRAIRPORT,BANKBARODA,BEL,,,
COFORGE,INDHOTEL,SUNPHARMA,,,
IIFL,MUTHOOTFIN,COALINDIA,,,
NETWEB,AMBUJACEM,NESTLEIND,,,
POLYCAB,PFC,APOLLOHOSP,,,
AMBER,ZYDUSLIFE,DRREDDY,,,
AEGISLOG,IRFC,BAJAJFINSV,,,
RKFORGE,BOSCHLTD,ONGC,,,
NYKAA,UNITDSPR,ASIANPAINT,,,
OFSS,BRITANNIA,INDIGO,,,
